CODE,DATACOUNT,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,606,True,66000,,8,577213.63,,6601800,大雅區,102,577213.63,606,臺中市,PItemStatistics
,179,True,66000,,8,202204.42,,6600100,中區,102,202204.42,179,臺中市,PItemStatistics
,908,True,66000,,8,1133098.15,,6602700,太平區,102,1133098.15,908,臺中市,PItemStatistics
,1376,True,66000,,8,1344384.69,,6600800,北屯區,102,1344384.69,1376,臺中市,PItemStatistics
,904,True,66000,,8,803400.69,,6600500,北區,102,803400.69,904,臺中市,PItemStatistics
,163,True,66000,,8,317419.29,,6602100,外埔區,102,317419.29,163,臺中市,PItemStatistics
,145,True,66000,,8,163205.65,,6602000,石岡區,102,163205.65,145,臺中市,PItemStatistics
,432,True,66000,,8,571385.74,,6601500,后里區,102,571385.74,432,臺中市,PItemStatistics
,1346,True,66000,,8,1944456.33,,6600600,西屯區,102,1944456.33,1346,臺中市,PItemStatistics
,727,True,66000,,8,537416.73,,6600400,西區,102,537416.73,727,臺中市,PItemStatistics
,469,True,66000,,8,708582.46,,6601300,沙鹿區,102,708582.46,469,臺中市,PItemStatistics
,190,True,66000,,8,196378.72,,6602900,和平區,102,196378.72,190,臺中市,PItemStatistics
,520,True,66000,,8,823244.41,,6600200,東區,102,823244.41,520,臺中市,PItemStatistics
,397,True,66000,,8,542561.88,,6601000,東勢區,102,542561.88,397,臺中市,PItemStatistics
,1020,True,66000,,8,1263393.17,,6600700,南屯區,102,1263393.17,1020,臺中市,PItemStatistics
,625,True,66000,,8,546760.44,,6600300,南區,102,546760.44,625,臺中市,PItemStatistics
,444,True,66000,,8,1007179.94,,6602300,烏日區,102,1007179.94,444,臺中市,PItemStatistics
,428,True,66000,,8,794755.13,,6601600,神岡區,102,794755.13,428,臺中市,PItemStatistics
,372,True,66000,,8,898970.91,,6601400,梧棲區,102,898970.91,372,臺中市,PItemStatistics
,659,True,66000,,8,974723.48,,6601200,清水區,102,974723.48,659,臺中市,PItemStatistics
,217,True,66000,,8,351213.37,,6601900,新社區,102,351213.37,217,臺中市,PItemStatistics
,538,True,66000,,8,434480.61,,6601700,潭子區,102,434480.61,538,臺中市,PItemStatistics
,441,True,66000,,8,1046035.22,,6602500,龍井區,102,1046035.22,441,臺中市,PItemStatistics
,908,True,66000,,8,1045898.95,,6600900,豐原區,102,1045898.95,908,臺中市,PItemStatistics
,409,True,66000,,8,547562.11,,6602600,霧峰區,102,547562.11,409,臺中市,PItemStatistics
,473,True,66000,,9,701377,,6601100,大甲區,102,701377,473,臺中市,PItemStatistics
,127,True,66000,,9,540558,,6602200,大安區,102,540558,127,臺中市,PItemStatistics
,276,True,66000,,9,593597.67,,6602400,大肚區,102,593597.67,276,臺中市,PItemStatistics
,1119,True,66000,,9,1059257.07,,6602800,大里區,102,1059257.07,1119,臺中市,PItemStatistics
,606,True,66000,,9,612070,,6601800,大雅區,102,612070,606,臺中市,PItemStatistics
,179,True,66000,,9,212701,,6600100,中區,102,212701,179,臺中市,PItemStatistics
,910,True,66000,,9,1202324.2,,6602700,太平區,102,1202324.2,910,臺中市,PItemStatistics
,1378,True,66000,,9,1407517,,6600800,北屯區,102,1407517,1378,臺中市,PItemStatistics
,907,True,66000,,9,839403,,6600500,北區,102,839403,907,臺中市,PItemStatistics
,163,True,66000,,9,334029,,6602100,外埔區,102,334029,163,臺中市,PItemStatistics
,145,True,66000,,9,170644,,6602000,石岡區,102,170644,145,臺中市,PItemStatistics
,442,True,66000,,9,608823.2,,6601500,后里區,102,608823.2,442,臺中市,PItemStatistics
,1348,True,66000,,9,2038784.5,,6600600,西屯區,102,2038784.5,1348,臺中市,PItemStatistics
,729,True,66000,,9,560096,,6600400,西區,102,560096,729,臺中市,PItemStatistics
,467,True,66000,,9,753955.27,,6601300,沙鹿區,102,753955.27,467,臺中市,PItemStatistics
,190,True,66000,,9,207229,,6602900,和平區,102,207229,190,臺中市,PItemStatistics
,521,True,66000,,9,867715,,6600200,東區,102,867715,521,臺中市,PItemStatistics
,397,True,66000,,9,561224,,6601000,東勢區,102,561224,397,臺中市,PItemStatistics
,1023,True,66000,,9,1321156,,6600700,南屯區,102,1321156,1023,臺中市,PItemStatistics
,626,True,66000,,9,571206,,6600300,南區,102,571206,626,臺中市,PItemStatistics
,444,True,66000,,9,1005521,,6602300,烏日區,102,1005521,444,臺中市,PItemStatistics
,428,True,66000,,9,835623,,6601600,神岡區,102,835623,428,臺中市,PItemStatistics
,371,True,66000,,9,916685.67,,6601400,梧棲區,102,916685.67,371,臺中市,PItemStatistics
,661,True,66000,,9,1025766.5,,6601200,清水區,102,1025766.5,661,臺中市,PItemStatistics
,217,True,66000,,9,370165,,6601900,新社區,102,370165,217,臺中市,PItemStatistics
,538,True,66000,,9,454246,,6601700,潭子區,102,454246,538,臺中市,PItemStatistics
,441,True,66000,,9,995142,,6602500,龍井區,102,995142,441,臺中市,PItemStatistics
,919,True,66000,,9,1100216,,6600900,豐原區,102,1100216,919,臺中市,PItemStatistics
,409,True,66000,,9,574761,,6602600,霧峰區,102,574761,409,臺中市,PItemStatistics
,473,True,66000,,10,724756.02,,6601100,大甲區,102,724756.02,473,臺中市,PItemStatistics
,127,True,66000,,10,558576.59,,6602200,大安區,102,558576.59,127,臺中市,PItemStatistics
,276,True,66000,,10,613471.32,,6602400,大肚區,102,613471.32,276,臺中市,PItemStatistics
,1128,True,66000,,10,1095407.05,,6602800,大里區,102,1095407.05,1128,臺中市,PItemStatistics
,610,True,66000,,10,632472.22,,6601800,大雅區,102,632472.22,610,臺中市,PItemStatistics
,180,True,66000,,10,219825.19,,6600100,中區,102,219825.19,180,臺中市,PItemStatistics
,916,True,66000,,10,1242803.7,,6602700,太平區,102,1242803.7,916,臺中市,PItemStatistics
,1389,True,66000,,10,1455287.93,,6600800,北屯區,102,1455287.93,1389,臺中市,PItemStatistics
,910,True,66000,,10,867558.34,,6600500,北區,102,867558.34,910,臺中市,PItemStatistics
,163,True,66000,,10,345163.27,,6602100,外埔區,102,345163.27,163,臺中市,PItemStatistics
