CODE,DATACOUNT,industry_name,SHOWTIP,COUN_ID,DIFFVALUE,month,STATVALUE,industry_class,TOWN_ID,TOWN_NA,year,SUM,ITEMCOUNT,COUN_NA,api_type
,8,文化、運動、休閒及其他服務業,True,66000,,1,114.5,J,6602700,太平區,102,114.5,8,臺中市,PHighStatistics
,20,文化、運動、休閒及其他服務業,True,66000,,1,143,J,6600800,北屯區,102,143,20,臺中市,PHighStatistics
,42,文化、運動、休閒及其他服務業,True,66000,,1,789.6,J,6600500,北區,102,789.6,42,臺中市,PHighStatistics
,1,文化、運動、休閒及其他服務業,False,66000,,1,2.8,J,6602100,外埔區,102,2.8,1,臺中市,PHighStatistics
,0,文化、運動、休閒及其他服務業,False,66000,,1,,J,6602000,石岡區,102,0,,臺中市,PHighStatistics
,3,文化、運動、休閒及其他服務業,False,66000,,1,124.4,J,6601500,后里區,102,124.4,3,臺中市,PHighStatistics
,40,文化、運動、休閒及其他服務業,True,66000,,1,1005.1,J,6600600,西屯區,102,1005.1,40,臺中市,PHighStatistics
,24,文化、運動、休閒及其他服務業,True,66000,,1,360.8,J,6600400,西區,102,360.8,24,臺中市,PHighStatistics
,14,文化、運動、休閒及其他服務業,True,66000,,1,314.4,J,6601300,沙鹿區,102,314.4,14,臺中市,PHighStatistics
,8,文化、運動、休閒及其他服務業,True,66000,,1,63.8,J,6602900,和平區,102,63.8,8,臺中市,PHighStatistics
,6,文化、運動、休閒及其他服務業,True,66000,,1,39.2,J,6600200,東區,102,39.2,6,臺中市,PHighStatistics
,3,文化、運動、休閒及其他服務業,False,66000,,1,23.2,J,6601000,東勢區,102,23.2,3,臺中市,PHighStatistics
,18,文化、運動、休閒及其他服務業,True,66000,,1,210.5,J,6600700,南屯區,102,210.5,18,臺中市,PHighStatistics
,19,文化、運動、休閒及其他服務業,True,66000,,1,818.8,J,6600300,南區,102,818.8,19,臺中市,PHighStatistics
,7,文化、運動、休閒及其他服務業,True,66000,,1,93.8,J,6602300,烏日區,102,93.8,7,臺中市,PHighStatistics
,1,文化、運動、休閒及其他服務業,False,66000,,1,2.4,J,6601600,神岡區,102,2.4,1,臺中市,PHighStatistics
,6,文化、運動、休閒及其他服務業,True,66000,,1,183.3,J,6601400,梧棲區,102,183.3,6,臺中市,PHighStatistics
,8,文化、運動、休閒及其他服務業,True,66000,,1,23.4,J,6601200,清水區,102,23.4,8,臺中市,PHighStatistics
,1,文化、運動、休閒及其他服務業,False,66000,,1,3.6,J,6601900,新社區,102,3.6,1,臺中市,PHighStatistics
,6,文化、運動、休閒及其他服務業,True,66000,,1,171.5,J,6601700,潭子區,102,171.5,6,臺中市,PHighStatistics
,1,文化、運動、休閒及其他服務業,False,66000,,1,4.6,J,6602500,龍井區,102,4.6,1,臺中市,PHighStatistics
,9,文化、運動、休閒及其他服務業,True,66000,,1,124.8,J,6600900,豐原區,102,124.8,9,臺中市,PHighStatistics
,17,文化、運動、休閒及其他服務業,True,66000,,1,272.1,J,6602600,霧峰區,102,272.1,17,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,1.7,A,6601100,大甲區,102,1.7,1,臺中市,PHighStatistics
,2,農、林、漁、牧業,False,66000,,2,12,A,6602200,大安區,102,12,2,臺中市,PHighStatistics
,4,農、林、漁、牧業,True,66000,,2,67.9,A,6602400,大肚區,102,67.9,4,臺中市,PHighStatistics
,4,農、林、漁、牧業,True,66000,,2,26.3,A,6602800,大里區,102,26.3,4,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,4.3,A,6601800,大雅區,102,4.3,1,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600100,中區,102,0,,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,5,A,6602700,太平區,102,5,1,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600800,北屯區,102,0,,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600500,北區,102,0,,臺中市,PHighStatistics
,4,農、林、漁、牧業,True,66000,,2,19.6,A,6602100,外埔區,102,19.6,4,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,11.6,A,6602000,石岡區,102,11.6,1,臺中市,PHighStatistics
,4,農、林、漁、牧業,True,66000,,2,20.7,A,6601500,后里區,102,20.7,4,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600600,西屯區,102,0,,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600400,西區,102,0,,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6601300,沙鹿區,102,0,,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6602900,和平區,102,0,,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600200,東區,102,0,,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,3.5,A,6601000,東勢區,102,3.5,1,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,3.6,A,6600700,南屯區,102,3.6,1,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6600300,南區,102,0,,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,1,A,6602300,烏日區,102,1,1,臺中市,PHighStatistics
,4,農、林、漁、牧業,True,66000,,2,14.5,A,6601600,神岡區,102,14.5,4,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6601400,梧棲區,102,0,,臺中市,PHighStatistics
,1,農、林、漁、牧業,False,66000,,2,8,A,6601200,清水區,102,8,1,臺中市,PHighStatistics
,9,農、林、漁、牧業,True,66000,,2,128,A,6601900,新社區,102,128,9,臺中市,PHighStatistics
,0,農、林、漁、牧業,False,66000,,2,,A,6601700,潭子區,102,0,,臺中市,PHighStatistics
,2,農、林、漁、牧業,False,66000,,2,13.6,A,6602500,龍井區,102,13.6,2,臺中市,PHighStatistics
,2,農、林、漁、牧業,False,66000,,2,2.6,A,6600900,豐原區,102,2.6,2,臺中市,PHighStatistics
,14,農、林、漁、牧業,True,66000,,2,272.9,A,6602600,霧峰區,102,272.9,14,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,70.9,B,6601100,大甲區,102,70.9,2,臺中市,PHighStatistics
,1,礦業及土石採取業,False,66000,,2,14,B,6602200,大安區,102,14,1,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6602400,大肚區,102,0,,臺中市,PHighStatistics
,2,礦業及土石採取業,False,66000,,2,23.5,B,6602800,大里區,102,23.5,2,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,8.5,B,6601800,大雅區,102,8.5,3,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600100,中區,102,0,,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,15.6,B,6602700,太平區,102,15.6,3,臺中市,PHighStatistics
,1,礦業及土石採取業,False,66000,,2,6,B,6600800,北屯區,102,6,1,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600500,北區,102,0,,臺中市,PHighStatistics
,1,礦業及土石採取業,False,66000,,2,1.3,B,6602100,外埔區,102,1.3,1,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,15.1,B,6602000,石岡區,102,15.1,3,臺中市,PHighStatistics
,3,礦業及土石採取業,False,66000,,2,12.6,B,6601500,后里區,102,12.6,3,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600600,西屯區,102,0,,臺中市,PHighStatistics
,0,礦業及土石採取業,False,66000,,2,,B,6600400,西區,102,0,,臺中市,PHighStatistics
